local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date	snac
NTT-UE	ENG		NTT			Gedling Borough Council	http://www.gedling.gov.uk			37UE
NTT-UF	ENG		NTT			Mansfield District Council	http://www.mansfield.gov.uk			37UF
NTT-UJ	ENG		NTT			Rushcliffe Borough Council	http://www.rushcliffe.gov.uk			37UJ
NYK-UC	ENG		NYK			Hambleton District Council	http://www.hambleton.gov.uk			36UC
NYK-UE	ENG		NYK			Richmondshire District Council	http://richmondshire.gov.uk			36UE
NYK-UH	ENG		NYK			Selby District Council	http://www.selby.gov.uk			36UH
NYK-UB	ENG		NYK			Craven District Council	http://www.cravendc.gov.uk			36UB
NYK-UD	ENG		NYK			Harrogate Borough Council	http://www.harrogate.gov.uk			36UD
NYK-UF	ENG		NYK			Ryedale District Council	http://www.ryedale.gov.uk			36UF
NYK-UG	ENG		NYK			Scarborough Borough Council	http://www.scarborough.gov.uk			36UG
NYK	ENG	CTY	NYK	North Yorkshire		North Yorkshire County Council	http://www.northyorks.gov.uk			36
